sampleID	SequencingBatch	Sequencing run	fastq_fwd_file_name	fastq_rev_file_name	Site	Region	Latitude	Longitude	ApproximateShellLength	Age	CohortYear	TransplantationYear	TransplantationAge	YearsSpentAtTransplantationSite	AdditionalSiteInfo	AdditionalComments
TG29	Y1	HN00102818	Tg-2004-1_1.fastq.gz	Tg-2004-1_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	57	14	2004	Origin	0	14		
TG30	Y1	HN00102818	Tg-2004-2_1.fastq.gz	Tg-2004-2_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	61	14	2004	Origin	0	14		
TG31	Y1	HN00102818	Tg-2004-3_1.fastq.gz	Tg-2004-3_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	57	14	2004	Origin	0	14		
TG32	Y1	HN00102818	Tg-3yr-1_1.fastq.gz	Tg-3yr-1_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	34	3	2015	Origin	0	3		
TG33	Y1	HN00102818	Tg-3yr-2_1.fastq.gz	Tg-3yr-2_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	29	3	2015	Origin	0	3		
TG34	Y1	HN00102818	Tg-3yr-3_1.fastq.gz	Tg-3yr-3_2.fastq.gz	Silaqui	Bolinao	16.44411667	119.9215333	32	3	2015	Origin	0	3		
TG35	Y2	HN00122531	ALA-Tg-3_1.fastq.gz	ALA-Tg-3_2.fastq.gz	HINP	Alaminos	16.2218333	120.0484167	71	23	1995	1998	20	3	HINP	
TG36	Y2	HN00122531	ALA-Tg-4_1.fastq.gz	ALA-Tg-4_2.fastq.gz	HINP	Alaminos	16.2218333	120.0484167	81	23	1995	1998	20	3	HINP	
TG37	Y2	HN00122531	ALA-Tg-5_1.fastq.gz	ALA-Tg-5_2.fastq.gz	HINP	Alaminos	16.2218333	120.0484167	90	23	1995	1998	20	3	HINP	
TG38	Y2	HN00122531	BAU-Tg-1_1.fastq.gz	BAU-Tg-1_2.fastq.gz	Bauan	Batangas	13.80308333	120.9117833	52	23	1995	1996	22	1	Dive and Trek	
